doc_id,may_doc_title,apr_doc_title,dec_doc_title,distance_dec_to_apr,distance_may_to_apr
frus1961-63v11d186,186. Memorandum From the Joint Chiefs of Staff                         to President Kennedy,186. Memorandum From the Joint Chiefs of Staff                         to President Kennedy,186. Memorandum From the Joint Chiefs of Staff                         toPresident Kennedy,1,0
frus1952-54v01p2d295,The Under Secretary of State’s Special Assistant for                             Fisheries and Wildlife (Herrington) to                             the Assistant Under Secretary of State in the British Foreign Office                                 (Fitzmaurice),The Under Secretary of State’s Special Assistant for                             Fisheries and Wildlife (Herrington) to                             the Assistant Under Secretary of State in the British Foreign Off ice                                 (Fitzmaurice),The Under Secretary of State’s Special Assistant for                             Fisheries and Wildlife (Herrington) to                             the Assistant Under Secretary of State in the British Foreign Off ice                                 (Fitzmaurice),0,1
frus1961-63v12d11,11. Memorandum of Conversation,11. Memorandum of Conversation,11.Memorandum of Conversation,1,0
frus1964-68v04d348,348. Telegram From the Embassy in Poland to                             the Department of State,348. Telegram From the Embassy in Poland to                             the Department of State,348.Telegram From the Embassy in Poland to                             the Department of State,1,0
frus1961-63v14d15,15. Memorandum of Conversation,15. Memorandum of Conversation,15.Memorandum of Conversation,1,0
frus1961-63v14d43,43. Telegram From the Department of State                             to the Embassy in Germany,43. Telegram From the Department of State                             to the Embassy in Germany,43.Telegram From the Department of State to                             the Embassy in Germany,5,0
frus1977-80v20d120,120. Telegram From the Department of State to the Embassy in the                             Federal Republic of Germany ,120. Telegram From the Department of State to the Embassy in the                             Federal Republic of Germany ,120.Telegram From the Department of State to the Embassy in the                             Federal Republic of Germany ,1,0
frus1931-41v01d281,Memorandum by the Ambassador in Japan (Grew),Memorandum by the Ambassador in Japan (Grew),Memorandum by the Ambassador in Japan (Chew),2,0
frus1938v04d65,The Ambassador in Japan (Grew) to                                 the Secretary of State,The Ambassador in Japan (Grew) to                                 the Secretary of State,The Ambassador in Japan (Chew) to                                 the Secretary of State,2,0
frus1938v04d397,The Secretary of State to                                 the Ambassador in Japan (Grew),The Secretary of State to                                 the Ambassador in Japan (Grew),The Secretary of State to                                 the Ambassador in Japan (Chew),2,0
frus1936v04d81,The Ambassador in Japan (Grew) to                                 the Secretary of State,The Ambassador in Japan (Grew) to                                 the Secretary of State,The Ambassador in Japan (Chew) to                                 the Secretary of State,2,0
frus1938v03d401,The Ambassador in Japan (Grew) to the Secretary of                                     State,The Ambassador in Japan (Grew) to the Secretary of                                     State,The Ambassador in Japan (Chew) to the Secretary of                                     State,2,0
frus1938v03d687,The Secretary of State to                                 the Ambassador in Japan (Grew),The Secretary of State to                                 the Ambassador in Japan (Grew),The Secretary of State to                                 the Ambassador in Japan (Chew),2,0
frus1969-76ve05p1d1,"1. Central Intelligence Agency Report, Office of National Estimates                                 Memorandum  ","1. Central Intelligence Agency Report, Office of National Estimates                                 Memorandum  ","1. Central Intelligence Agency Report, Office of National Estimates                             Memorandum, Washington, March 13, 1969  ",32,0
frus1969-76ve05p1d2,2. Memorandum of Conversation  ,2. Memorandum of Conversation  ,"2. Memorandum of Conversation, Washington, April 17, 1969, 4:45                                 p.m.  ",71,0
frus1969-76ve05p1d3,3. Memorandum From Roger Morris of                             the National Security Council Staff to the Presidentʼs Assistant for                             National Security Affairs (Kissinger)  ,3. Memorandum From Roger Morris of                             the National Security Council Staff to the Presidentʼs Assistant for                             National Security Affairs (Kissinger)  ,"3. Memorandum From Roger Morris of                             the National Security Council Staff to the Presidentʼs Assistant for                             National Security Affairs (Kissinger), Washington, April 23, 1969  ",28,0
frus1969-76ve05p1d4,4. Memorandum From Roger Morris of                             the National Security Council Staff to the Presidentʼs Assistant for                             National Security Affairs (Kissinger)  ,4. Memorandum From Roger Morris of                             the National Security Council Staff to the Presidentʼs Assistant for                             National Security Affairs (Kissinger)  ,"4. Memorandum From Roger Morris of                             the National Security Council Staff to the Presidentʼs Assistant for                             National Security Affairs (Kissinger), Washington, May 13, 1969  ",26,0
frus1969-76ve05p1d7,"7. U.S. Foreign Policy for the 1970ʼs: A New Strategy for Peace: A                             Report to the Congress by Richard                                 Nixon, President of the United States, Washington,                             February 18, 1970  ","7. U.S. Foreign Policy for the 1970ʼs: A New Strategy for Peace: A                             Report to the Congress by Richard                                 Nixon, President of the United States, Washington,                             February 18, 1970  ","7. U. S. Foreign Policy for the 1970ʼs: A New Strategy for Peace: A                             Report to the Congress by Richard                                 Nixon, President of the United States, Washington,                             February 18, 1970  ",1,0
frus1969-76ve05p1d14,"14. U.S. Foreign Policy for the 1970ʼs: Building for Peace: A Report                             to the Congress by Richard Nixon,                             President of the United States, Washington, February 25, 1971  ","14. U.S. Foreign Policy for the 1970ʼs: Building for Peace: A Report                             to the Congress by Richard Nixon,                             President of the United States, Washington, February 25, 1971  ","14. U. S. Foreign Policy for the 1970ʼs: Building for Peace: A Report                             to the Congress by Richard Nixon,                             President of the United States, Washington, February 25, 1971  ",1,0
frus1969-76ve05p1d17,"17. National Intelligence Estimate 70–71, Washington, October 7,                                 1971  ","17. National Intelligence Estimate 70–71, Washington, October 7,                                 1971  ","17. National Intelligence Estimate 70-71, Washington, October 7,                                 1971  ",1,0
frus1969-76ve05p1d18,"18. U.S. Foreign Policy for the 1970ʼs, The Emerging Structure of                             Peace: A Report to the Congress by Richard                                 Nixon, President of the United States, Washington,                             February 9, 1972  ","18. U.S. Foreign Policy for the 1970ʼs, The Emerging Structure of                             Peace: A Report to the Congress by Richard                                 Nixon, President of the United States, Washington,                             February 9, 1972  ","18. U. S. Foreign Policy for the 1970ʼs, The Emerging Structure of                             Peace: A Report to the Congress by Richard                                 Nixon, President of the United States, Washington,                             February 9, 1972  ",1,0
frus1969-76ve05p1d104,"104. Special Annex to Special National Intelligence Estimate 64.2–69,                             Washington, August 12, 1969 ","104. Special Annex to Special National Intelligence Estimate 64.2–69,                             Washington, August 12, 1969 ","104. Special Annex to Special National Intelligence Estimate 64.2-69,                             Washington, August 12, 1969 ",1,0
frus1969-76ve05p1d209,"209. Airgram A–22 From the Department of                                 State to the Embassy in Nigeria,                             Washington, June 21, 1971  ","209. Airgram A–22 From the Department of                                 State to the Embassy in Nigeria,                             Washington, June 21, 1971  ","209. Airgram A-22 From the Department of                                 State to the Embassy in Nigeria,                             Washington, June 21, 1971  ",1,0
frus1969-76ve05p1d223,"223. Conversation Between President Nixon and his Assistant for National Security                             Affairs (Kissinger),                             September 23, 1972, 4:50–5:10 p.m.  ","223. Conversation Between President Nixon and his Assistant for National Security                             Affairs (Kissinger),                             September 23, 1972, 4:50–5:10 p.m.  ","223. Conversation Between President Nixon and his Assistant for National Security                             Affairs (Kissinger),                             September 23, 1972, 4:50 - 5:10 p.m.  ",3,0
frus1969-76ve05p1d233,"233. National Intelligence Estimate 65–70, Washington, July 22,                                 1970  ","233. National Intelligence Estimate 65–70, Washington, July 22,                                 1970  ","233. National Intelligence Estimate 65-70, Washington, July 22,                                 1970  ",1,0
frus1969-76ve05p1d243,"243. Africa Staff Note No. 1–71, Washington, February 2, 1971  ","243. Africa Staff Note No. 1–71, Washington, February 2, 1971  ","243. Africa Staff Note No. 1-71, Washington, February 2, 1971  ",1,0
frus1969-76ve05p1d268,"268. Airgram A–30 From the American Consulate in Asmara to the                             Department of State, April 10, 1969  ","268. Airgram A–30 From the American Consulate in Asmara to the                             Department of State, April 10, 1969  ","268. Airgram A-30 From the American Consulate in Asmara to the                             Department of State, April 10, 1969  ",1,0
frus1969-76ve05p1d270,"270. Airgram A–194 From the Embassy in                                 Ethiopia to the Department of                                 State, Addis Ababa, June 18, 1969  ","270. Airgram A–194 From the Embassy in                                 Ethiopia to the Department of                                 State, Addis Ababa, June 18, 1969  ","270. Airgram A-194 From the Embassy in                                 Ethiopia to the Department of                                 State, Addis Ababa, June 18, 1969  ",1,0
frus1969-76ve05p1d287,"287. National Intelligence Estimate 75/76–70, Washington, May 21,                                 1970  ","287. National Intelligence Estimate 75/76–70, Washington, May 21,                                 1970  ","287. National Intelligence Estimate 75/76-70, Washington, May 21,                                 1970  ",1,0
frus1969-76ve05p1d306,"306. Airgram A–11 From the Embassy in                                 Somalia to the Department of State,                             January 17, 1971  ","306. Airgram A–11 From the Embassy in                                 Somalia to the Department of State,                             January 17, 1971  ","306. Airgram A-11 From the Embassy in                                 Somalia to the Department of State,                             January 17, 1971  ",1,0
frus1969-76ve05p1d332,"332. National Intelligence Estimate 75/76–72, Washington, October 4,                                 1972  ","332. National Intelligence Estimate 75/76–72, Washington, October 4,                                 1972  ","332. National Intelligence Estimate 75/76-72, Washington, October 4,                                 1972  ",1,0
frus1969-76ve08d75,"75. Telegram 110376 From the Department of                                 State to the Embassy in                             Afghanistan, May 25, 1974, 1809Z.  ","75. Telegram 110376 From the Department of                                 State to the Embassy in                             Afghanistan, May 25, 1974, 1809Z.  ","75.Telegram 110376 From the Department of                                 State to the Embassy in                             Afghanistan, May 25, 1974, 1809Z.  ",1,0
frus1969-76ve08d199,"199. Telegram 101888 From the Department of                                 State to the Embassy in India, May                             1, 1975, 2041Z.   ","199. Telegram 101888 From the Department of                                 State to the Embassy in India, May                             1, 1975, 2041Z.   ","199.Telegram 101888 From the Department of                                 State to the Embassy in India, May                             1, 1975, 2041Z.   ",1,0
frus1969-76ve08d215,"215. Memorandum of Conversation, Washington, October 9, 1975, 11                                 a.m.  ","215. Memorandum of Conversation, Washington, October 9, 1975, 11                                 a.m.  ","215.Memorandum of Conversation, Washington, October 9, 1975, 11                                 a.m.  ",1,0
frus1977-80v16d279,279. Memorandum From the Executive Secretary of the Department of                             State (Tarnoff) to the                             President’s Assistant for National Security Affairs (Brzezinski) ,279. Memorandum From the Executive Secretary of the Department of                             State (Tarnoff) to the                             President’s Assistant for National Security Affairs (Brzezinski) ,279.Memorandum From the Executive Secretary of the Department of State                                 (Tarnoff) to the President’s                             Assistant for National Security Affairs (Brzezinski) ,33,0
frus1969-76ve04d35,35. Memorandum of Conversation  ,35. Memorandum of Conversation  ,"35. Memorandum of Conversation, Blair House  ",13,0
frus1969-76ve04d82,"82. Memorandum From [name not declassified] of                             the Near East and South Asia Division of the Directorate for Plans,                             Central Intelligence Agency to the Deputy Director’s Executive Assistant                                 ([name not declassified])  ","82. Memorandum From [name not declassified] of                             the Near East and South Asia Division of the Directorate for Plans,                             Central Intelligence Agency to the Deputy Director’s Executive Assistant                                 ([name not declassified])  ","82. Memorandum From [name not declassified] of                             the Near East and South Asia Division of the Directorate for Plans,                             Central Intelligence, to the Deputy Director’s Executive Assistant [name not declassified]  ",41,0
frus1969-76ve04d84,84. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger)  ,84. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger)  ,84. Memorandum From the Director of the Central Intelligence Agency                                 (Helms) to the                             President’s Assistant for National Security Affairs (Kissinger)  ,62,0
frus1969-76ve04d98,"98. Telegram 187449 From the Department of                                 State to the Embassies in Saudi                                 Arabia, Kuwait, the United Kingdom, and Iran  ","98. Telegram 187449 From the Department of                                 State to the Embassies in Saudi                                 Arabia, Kuwait, the United Kingdom, and Iran  ","98. Telegram 187449 From the Department of                                 State to the Embassies in Saudi                                 Arabia, Kuwait, United Kingdom, and Iran  ",4,0
frus1969-76ve04d115,115. Intelligence Note RECN–3 Prepared in the Bureau of Intelligence                             and Research  ,115. Intelligence Note RECN–3 Prepared in the Bureau of Intelligence                             and Research  ,"115. Intelligence Note RECN–3, Prepared in the Bureau of Intelligence                             and Research  ",1,0
frus1969-76ve04d122,"122. Conversation Among President Nixon, the Ambassador to Iran (MacArthur), and the President’s                             Deputy Assistant for National Security Affairs (Haig)  ","122. Conversation Among President Nixon, the Ambassador to Iran (MacArthur), and the President’s                             Deputy Assistant for National Security Affairs (Haig)  ","122. Conversation Among President Nixon, Ambassador Douglas                                 MacArthur II, and General Alexander Haig  ",76,0
frus1969-76ve04d138,138. Letter From the Director of Central Intelligence (Helms) to Secretary of                             State Rogers  ,138. Letter From the Director of Central Intelligence (Helms) to Secretary of                             State Rogers  ,138. Letter From the Director of Central Intelligence (Helms) to Secretary                                 Rogers  ,7,0
frus1969-76ve04d149,"149. Telegram 16 From the U.S. Delegation to the                                 25th Centenary Celebrations in Shiraz, Iran, to the Department of State  ","149. Telegram 16 From the U.S. Delegation to the                                 25th Centenary Celebrations in Shiraz, Iran, to the Department of State  ","149. Telegram 16 From the U.S. Delegation to the 25                                 Centenary Celebrations in Shiraz, Iran, to the Department of State  ",6,0
frus1969-76ve04d150,"150. Telegram 189359 From the Department of                                 State to the U.S. Delegation to the 25th                                 Centenary Celebration in Shiraz, Iran  ","150. Telegram 189359 From the Department of                                 State to the U.S. Delegation to the 25th                                 Centenary Celebration in Shiraz, Iran  ","150. Telegram 189359 From the Department of                                 State to the US Delegation to the 25th                                 Centenary Celebration in Shiraz, Iran  ",2,0
frus1969-76ve04d151,151. Memorandum From the Assistant Secretary of Defense for                             International Security Affairs (Nutter) to the Chairman of the Joint Chiefs of Staff                                 (Moorer)  ,151. Memorandum From the Assistant Secretary of Defense for                             International Security Affairs (Nutter) to the Chairman of the Joint Chiefs of Staff                                 (Moorer)  ,"151. Memorandum From the Assistant Secretary of Defense for                             International Security Affairs (Nutter) to the Chairman, Joint Chiefs of Staff                                 (Moorer)  ",7,0
frus1969-76ve04d157,157. Telegram 77 From the Embassy in Iran                             to Secretary of State Rogers and the Assistant Secretary for Near Eastern and                             South Asian Affairs (Sisco)  ,157. Telegram 77 From the Embassy in Iran                             to Secretary of State Rogers and the Assistant Secretary for Near Eastern and                             South Asian Affairs (Sisco)  ,"157. Telegram 77 From the Embassy in Iran                             to Secretary of State Rogers and the Assistant Secretary for Near Eastern and                             South Asian Affairs (Sisco),                             January 5, 1972, 1235Z  ",52,0
frus1969-76ve04d158,158. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to President Nixon  ,158. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to President Nixon  ,"158. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to President Nixon,                             Washington, January 11, 1972  ",58,0
frus1969-76ve04d159,159. Telegram 249 From the Embassy in Iran                             to the Department of State  ,159. Telegram 249 From the Embassy in Iran                             to the Department of State  ,"159. Telegram 249 From the Embassy in Iran                             to the Department of State, January 14, 1972,                                 1145Z  ",57,0
frus1969-76ve04d160,160. Telegram 279 From the Embassy in Iran                             to the Department of State  ,160. Telegram 279 From the Embassy in Iran                             to the Department of State  ,"160. Telegram 279 From the Embassy in Iran                             to the Department of State, January 15, 1972,                                 1037Z  ",57,0
frus1969-76ve04d161,161. Telegram 331 From the Embassy in Iran                             to the Department of State  ,161. Telegram 331 From the Embassy in Iran                             to the Department of State  ,"161. Telegram 331 From the Embassy in Iran                             to the Department of State, January 17, 1972,                                 1950Z  ",57,0
frus1969-76ve04d162,162. Telegram 8819 From the Department of                                 State to the Embassy in Iran  ,162. Telegram 8819 From the Department of                                 State to the Embassy in Iran  ,"162. Telegram 8819 From the Department of                                 State to the Embassy in Iran,                             January 17, 1972, 1942Z  ",53,0
frus1969-76ve04d163,163. Telegram 446 From the Embassy in Iran                             to the Department of State  ,163. Telegram 446 From the Embassy in Iran                             to the Department of State  ,"163. Telegram 446 From the Embassy in Iran                             to the Department of State, January 22, 1972,                                 710Z  ",56,0
frus1969-76ve04d164,164. Research Study RNAS–2 Prepared in the Bureau of Intelligence and                                 Research  ,164. Research Study RNAS–2 Prepared in the Bureau of Intelligence and                                 Research  ,"164. Research Study Prepared in the Bureau of Intelligence and                             Research, Washington, January 28, 1972  ",41,0
frus1969-76ve04d165,165. Intelligence Memorandum ER IM 72–23  ,165. Intelligence Memorandum ER IM 72–23  ,"165. Intelligence Memorandum, ER IM 72–23, February, 1972  ",17,0
frus1969-76ve04d166,166. Memorandum From the Assistant Secretary of Defense for                             International Security Affairs (Nutter) to Secretary of Defense Laird  ,166. Memorandum From the Assistant Secretary of Defense for                             International Security Affairs (Nutter) to Secretary of Defense Laird  ,"166. Memorandum From the Assistant Secretary of Defense for                             International Security Affairs (Nutter) to Secretary of Defense Laird, Washington, February                             22, 1972  ",59,0
frus1969-76ve04d167,167. Telegram 1164 From the Embassy in Iran                             to the Department of State  ,167. Telegram 1164 From the Embassy in Iran                             to the Department of State  ,"167. Telegram 1164 From the Embassy in                             Tehran to the Department of State, February 25,                             1972, 0930Z  ",64,0
frus1969-76ve04d168,168. Situation Report  ,168. Situation Report  ,"168. Situation Report, February 28, 1972  ",19,0
frus1969-76ve04d169,169. Telegram 1218 From the Embassy in Iran                             to the Department of State  ,169. Telegram 1218 From the Embassy in Iran                             to the Department of State  ,"169. Telegram 1218 From the Embassy in Iran                             to the Department of State, February 29, 1972,                                 1410Z  ",58,0
frus1969-76ve04d170,170. Letter From the Deputy Chief of Mission at the Embassy in Iran                                 (Heck) to the                             Director for Iranian Affairs (Miklos)  ,170. Letter From the Deputy Chief of Mission at the Embassy in Iran                                 (Heck) to the                             Director for Iranian Affairs (Miklos)  ,"170. Letter From the Deputy Chief of Mission at the Embassy in Iran                                 (Heck) to the                             Director for Iranian Affairs (Miklos), Tehran, March 1, 1972  ",23,0
frus1969-76ve04d171,171. Telegram 1261 From the Embassy in Iran                             to the Department of State  ,171. Telegram 1261 From the Embassy in Iran                             to the Department of State  ,"171. Telegram 1261 From the Embassy in Iran                             to the Department of State, March 2, 1972,                                 1124Z  ",54,0
frus1969-76ve04d172,172. Letter From the Assistant Secretary of State for Congressional                             Relations (Abshire) to the Chairman of                             the Senate Committee on Foreign Relations (Fulbright)  ,172. Letter From the Assistant Secretary of State for Congressional                             Relations (Abshire) to the Chairman of                             the Senate Committee on Foreign Relations (Fulbright)  ,"172. Letter From the Assistant Secretary of State for Congressional                             Relations (Abshire) to the Chairman of                             the Senate Committee on Foreign Relations (Fulbright), Washington, March 3, 1972  ",27,0
frus1969-76ve04d173,173. Telegram 1379 From the Embassy in Iran                             to the Department of State  ,173. Telegram 1379 From the Embassy in Iran                             to the Department of State  ,"173. Telegram 1379 From the Embassy in Iran                             to the Department of State, March 8, 1972,                                 1345Z  ",54,0
frus1969-76ve04d174,174. Telegram 1381 From the Embassy in Iran                             to the Department of State  ,174. Telegram 1381 From the Embassy in Iran                             to the Department of State  ,"174. Telegram 1381 From the Embassy in Iran                             to the Department of State, March 9, 1972,                                 540Z  ",53,0
frus1969-76ve04d175,175. Memorandum From the Assistant Secretary of Defense for                             International Security Affairs (Nutter) to Secretary of Defense Laird  ,175. Memorandum From the Assistant Secretary of Defense for                             International Security Affairs (Nutter) to Secretary of Defense Laird  ,"175. Memorandum From the Assistant Secretary of Defense for                             International Security Affairs (Nutter) to Secretary of Defense Laird, Washington, March 11,                                 1972  ",60,0
frus1969-76ve04d176,176. Telegram 1665 From the Embassy in Iran                             to the Department of State  ,176. Telegram 1665 From the Embassy in Iran                             to the Department of State  ,"176. Telegram 1665 From the Embassy in Iran                             to the Department of State, March 23, 1972,                                 0240Z  ",55,0
